starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 19 15:51:57 2024	1705675917	33	68	101	67
Fri Jan 19 15:52:01 2024	1705675921	28	73	101	72
Fri Jan 19 15:52:00 2024	1705675920	31	70	101	68
Fri Jan 19 15:51:53 2024	1705675913	34	67	101	67
Fri Jan 19 15:51:56 2024	1705675916	24	77	101	75
Fri Jan 19 15:52:01 2024	1705675921	25	77	102	75
Fri Jan 19 15:51:53 2024	1705675913	26	76	102	66
Fri Jan 19 15:51:59 2024	1705675919	32	70	102	69
Fri Jan 19 15:51:55 2024	1705675915	29	73	102	72
Fri Jan 19 15:51:58 2024	1705675918	27	74	102	74
Fri Jan 19 15:51:54 2024	1705675914	33	69	102	69
Fri Jan 19 15:52:00 2024	1705675920	31	71	102	68
Fri Jan 19 15:51:56 2024	1705675916	35	66	102	63
Fri Jan 19 15:51:58 2024	1705675918	32	70	102	68
Fri Jan 19 15:51:53 2024	1705675913	25	77	102	75
Fri Jan 19 15:51:59 2024	1705675919	29	73	102	72
Fri Jan 19 15:52:00 2024	1705675920	28	74	102	73
Fri Jan 19 15:52:01 2024	1705675921	21	81	102	79
Fri Jan 19 15:51:58 2024	1705675918	28	74	102	74
Fri Jan 19 15:51:54 2024	1705675914	25	77	102	74
Fri Jan 19 15:51:58 2024	1705675918	31	71	102	70
Fri Jan 19 15:51:57 2024	1705675917	31	71	102	70
Fri Jan 19 15:51:58 2024	1705675918	25	77	102	76
Fri Jan 19 15:51:58 2024	1705675918	45	57	102	57
Fri Jan 19 15:51:53 2024	1705675913	33	69	102	65
Fri Jan 19 15:52:00 2024	1705675920	26	76	102	74
Fri Jan 19 15:51:57 2024	1705675917	23	79	102	79
Fri Jan 19 15:51:52 2024	1705675912	31	71	102	68
Fri Jan 19 15:52:00 2024	1705675920	26	76	102	76
Fri Jan 19 15:51:52 2024	1705675912	28	74	102	73
Fri Jan 19 15:51:54 2024	1705675914	31	71	102	69
Fri Jan 19 15:51:56 2024	1705675916	31	72	102	71
Fri Jan 19 15:51:55 2024	1705675915	24	79	102	76
Fri Jan 19 15:51:54 2024	1705675914	35	68	102	66
Fri Jan 19 15:51:53 2024	1705675913	26	77	103	68
Fri Jan 19 15:51:57 2024	1705675917	35	67	103	66
Fri Jan 19 15:51:58 2024	1705675918	32	70	103	68
Fri Jan 19 15:51:57 2024	1705675917	24	79	103	76
Fri Jan 19 15:52:00 2024	1705675920	31	71	103	70
Fri Jan 19 15:51:56 2024	1705675916	28	75	103	73
Fri Jan 19 15:51:56 2024	1705675916	35	68	103	67
Fri Jan 19 15:51:55 2024	1705675915	28	75	103	74
Fri Jan 19 15:52:00 2024	1705675920	27	76	103	73
Fri Jan 19 15:51:58 2024	1705675918	39	64	103	64
Fri Jan 19 15:51:54 2024	1705675914	32	71	103	70
Fri Jan 19 15:51:52 2024	1705675912	26	77	103	76
Fri Jan 19 15:51:59 2024	1705675919	31	72	103	69
Fri Jan 19 15:51:53 2024	1705675913	29	74	103	72
Fri Jan 19 15:52:01 2024	1705675921	34	69	103	69
Fri Jan 19 15:51:55 2024	1705675915	25	78	103	76
Fri Jan 19 15:51:55 2024	1705675915	30	73	103	73
Fri Jan 19 15:51:58 2024	1705675918	27	77	103	76
Fri Jan 19 15:51:53 2024	1705675913	38	65	103	64
Fri Jan 19 15:51:59 2024	1705675919	37	66	103	66
Fri Jan 19 15:51:58 2024	1705675918	36	68	103	66
Fri Jan 19 15:52:01 2024	1705675921	20	83	104	82
Fri Jan 19 15:51:52 2024	1705675912	28	75	104	75
Fri Jan 19 15:51:54 2024	1705675914	27	76	104	75
Fri Jan 19 15:51:58 2024	1705675918	23	81	104	80
Fri Jan 19 15:51:58 2024	1705675918	29	75	104	73
Fri Jan 19 15:51:59 2024	1705675919	31	73	104	72
Fri Jan 19 15:51:56 2024	1705675916	36	67	104	66
Fri Jan 19 15:51:59 2024	1705675919	37	66	104	65
Fri Jan 19 15:51:56 2024	1705675916	25	80	104	77
Fri Jan 19 15:51:55 2024	1705675915	31	73	104	72
Fri Jan 19 15:51:57 2024	1705675917	33	71	104	70
Fri Jan 19 15:52:00 2024	1705675920	29	76	104	75
Fri Jan 19 15:51:53 2024	1705675913	29	75	104	73
Fri Jan 19 15:51:54 2024	1705675914	32	72	104	70
Fri Jan 19 15:51:59 2024	1705675919	28	76	104	75
Fri Jan 19 15:51:54 2024	1705675914	33	71	104	70
Fri Jan 19 15:51:57 2024	1705675917	29	75	104	73
Fri Jan 19 15:51:59 2024	1705675919	29	75	104	74
Fri Jan 19 15:51:52 2024	1705675912	33	71	104	69
Fri Jan 19 15:51:56 2024	1705675916	28	76	104	74
Fri Jan 19 15:51:52 2024	1705675912	26	78	104	73
Fri Jan 19 15:51:53 2024	1705675913	26	78	104	77
Fri Jan 19 15:51:55 2024	1705675915	37	67	104	65
Fri Jan 19 15:51:52 2024	1705675912	27	78	105	77
Fri Jan 19 15:51:56 2024	1705675916	36	69	105	68
Fri Jan 19 15:51:51 2024	1705675911	32	73	105	72
Fri Jan 19 15:51:57 2024	1705675917	30	75	105	73
Fri Jan 19 15:52:01 2024	1705675921	31	74	105	73
Fri Jan 19 15:52:00 2024	1705675920	34	71	105	71
Fri Jan 19 15:51:53 2024	1705675913	25	80	105	79
Fri Jan 19 15:52:01 2024	1705675921	34	71	105	71
Fri Jan 19 15:52:01 2024	1705675921	27	78	105	77
Fri Jan 19 15:51:54 2024	1705675914	28	77	105	75
Fri Jan 19 15:51:59 2024	1705675919	35	70	105	69
Fri Jan 19 15:51:58 2024	1705675918	21	84	105	83
Fri Jan 19 15:51:57 2024	1705675917	28	77	105	77
Fri Jan 19 15:51:57 2024	1705675917	22	83	105	82
Fri Jan 19 15:51:52 2024	1705675912	33	72	105	70
Fri Jan 19 15:51:58 2024	1705675918	31	75	105	73
Fri Jan 19 15:52:01 2024	1705675921	32	73	105	72
Fri Jan 19 15:52:01 2024	1705675921	33	72	105	71
Fri Jan 19 15:51:53 2024	1705675913	34	71	105	69
Fri Jan 19 15:52:01 2024	1705675921	32	73	105	72
Fri Jan 19 15:51:52 2024	1705675912	28	77	105	76
Fri Jan 19 15:52:01 2024	1705675921	30	76	105	76
Fri Jan 19 15:51:56 2024	1705675916	32	74	105	73
Fri Jan 19 15:51:51 2024	1705675911	32	74	105	70
Fri Jan 19 15:51:52 2024	1705675912	30	75	106	75
Fri Jan 19 15:51:58 2024	1705675918	33	72	106	70
Fri Jan 19 15:51:54 2024	1705675914	29	76	106	76
Fri Jan 19 15:52:00 2024	1705675920	32	74	106	72
Fri Jan 19 15:51:59 2024	1705675919	36	69	106	68
Fri Jan 19 15:51:55 2024	1705675915	34	72	106	69
Fri Jan 19 15:51:57 2024	1705675917	32	74	106	72
Fri Jan 19 15:51:52 2024	1705675912	34	72	106	72
Fri Jan 19 15:51:53 2024	1705675913	39	67	106	65
Fri Jan 19 15:51:53 2024	1705675913	25	81	106	79
Fri Jan 19 15:51:56 2024	1705675916	26	80	106	80
Fri Jan 19 15:51:54 2024	1705675914	36	70	106	69
Fri Jan 19 15:51:57 2024	1705675917	39	67	106	65
Fri Jan 19 15:52:00 2024	1705675920	27	79	106	78
Fri Jan 19 15:51:57 2024	1705675917	32	74	106	74
Fri Jan 19 15:51:55 2024	1705675915	29	77	106	75
Fri Jan 19 15:51:56 2024	1705675916	38	69	106	67
Fri Jan 19 15:51:56 2024	1705675916	36	70	106	70
Fri Jan 19 15:52:00 2024	1705675920	31	76	107	75
Fri Jan 19 15:51:59 2024	1705675919	29	78	107	75
Fri Jan 19 15:51:58 2024	1705675918	32	75	107	74
Fri Jan 19 15:51:58 2024	1705675918	32	75	107	74
Fri Jan 19 15:51:54 2024	1705675914	34	73	107	73
Fri Jan 19 15:51:53 2024	1705675913	36	71	107	69
Fri Jan 19 15:51:56 2024	1705675916	29	78	107	77
Fri Jan 19 15:51:59 2024	1705675919	38	69	107	68
Fri Jan 19 15:51:56 2024	1705675916	28	79	107	79
Fri Jan 19 15:51:59 2024	1705675919	39	69	107	67
Fri Jan 19 15:51:54 2024	1705675914	36	71	107	70
Fri Jan 19 15:51:57 2024	1705675917	32	76	107	73
Fri Jan 19 15:51:53 2024	1705675913	29	78	107	74
Fri Jan 19 15:51:59 2024	1705675919	32	75	107	74
Fri Jan 19 15:51:53 2024	1705675913	32	75	107	74
Fri Jan 19 15:51:58 2024	1705675918	32	75	107	75
Fri Jan 19 15:51:54 2024	1705675914	27	80	107	80
Fri Jan 19 15:51:54 2024	1705675914	37	70	107	67
Fri Jan 19 15:51:56 2024	1705675916	31	77	108	76
Fri Jan 19 15:51:52 2024	1705675912	32	76	108	76
Fri Jan 19 15:51:52 2024	1705675912	29	79	108	77
Fri Jan 19 15:52:00 2024	1705675920	33	74	108	74
Fri Jan 19 15:51:54 2024	1705675914	30	77	108	75
Fri Jan 19 15:51:57 2024	1705675917	33	74	108	73
Fri Jan 19 15:51:58 2024	1705675918	28	80	108	78
