starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 19 15:51:58 2024	1705675918	21	38	60	38
Fri Jan 19 15:51:57 2024	1705675917	21	46	67	44
Fri Jan 19 15:51:55 2024	1705675915	22	46	68	46
Fri Jan 19 15:51:59 2024	1705675919	20	49	69	47
Fri Jan 19 15:51:57 2024	1705675917	22	47	69	45
Fri Jan 19 15:51:57 2024	1705675917	21	48	69	47
Fri Jan 19 15:52:00 2024	1705675920	24	45	69	44
Fri Jan 19 15:51:57 2024	1705675917	25	46	71	45
Fri Jan 19 15:51:56 2024	1705675916	22	49	71	48
Fri Jan 19 15:51:53 2024	1705675913	26	44	71	44
Fri Jan 19 15:51:55 2024	1705675915	24	47	71	45
Fri Jan 19 15:51:57 2024	1705675917	23	49	72	48
Fri Jan 19 15:51:56 2024	1705675916	22	50	72	49
Fri Jan 19 15:52:00 2024	1705675920	24	48	72	46
Fri Jan 19 15:51:59 2024	1705675919	25	47	72	46
Fri Jan 19 15:51:54 2024	1705675914	28	44	72	44
Fri Jan 19 15:51:59 2024	1705675919	25	48	72	46
Fri Jan 19 15:51:58 2024	1705675918	28	45	73	44
Fri Jan 19 15:51:57 2024	1705675917	21	52	73	51
Fri Jan 19 15:51:55 2024	1705675915	22	51	73	51
Fri Jan 19 15:51:53 2024	1705675913	28	45	73	45
Fri Jan 19 15:51:58 2024	1705675918	23	50	73	49
Fri Jan 19 15:51:57 2024	1705675917	26	47	73	45
Fri Jan 19 15:51:58 2024	1705675918	29	44	73	44
Fri Jan 19 15:51:58 2024	1705675918	22	52	74	52
Fri Jan 19 15:51:57 2024	1705675917	22	53	74	50
Fri Jan 19 15:51:52 2024	1705675912	26	48	74	47
Fri Jan 19 15:51:55 2024	1705675915	31	43	75	43
Fri Jan 19 15:51:55 2024	1705675915	25	50	75	45
Fri Jan 19 15:51:54 2024	1705675914	27	49	75	48
Fri Jan 19 15:52:00 2024	1705675920	22	54	75	53
Fri Jan 19 15:51:55 2024	1705675915	26	49	75	49
Fri Jan 19 15:51:54 2024	1705675914	22	53	76	52
Fri Jan 19 15:52:00 2024	1705675920	22	54	76	54
Fri Jan 19 15:51:54 2024	1705675914	24	53	76	52
Fri Jan 19 15:51:58 2024	1705675918	25	51	76	49
Fri Jan 19 15:51:54 2024	1705675914	18	58	76	57
Fri Jan 19 15:51:54 2024	1705675914	31	46	76	43
Fri Jan 19 15:51:54 2024	1705675914	25	52	76	51
Fri Jan 19 15:51:59 2024	1705675919	27	50	76	47
Fri Jan 19 15:51:53 2024	1705675913	23	54	77	53
Fri Jan 19 15:51:59 2024	1705675919	23	53	77	53
Fri Jan 19 15:51:52 2024	1705675912	20	56	77	55
Fri Jan 19 15:51:55 2024	1705675915	25	52	77	52
Fri Jan 19 15:51:58 2024	1705675918	28	49	77	49
Fri Jan 19 15:51:58 2024	1705675918	24	53	77	52
Fri Jan 19 15:51:54 2024	1705675914	26	51	77	50
Fri Jan 19 15:51:59 2024	1705675919	23	55	77	53
Fri Jan 19 15:51:56 2024	1705675916	22	56	77	54
Fri Jan 19 15:51:58 2024	1705675918	26	51	77	50
Fri Jan 19 15:51:58 2024	1705675918	34	43	77	43
Fri Jan 19 15:51:54 2024	1705675914	26	52	78	52
Fri Jan 19 15:51:53 2024	1705675913	27	51	78	50
Fri Jan 19 15:51:54 2024	1705675914	28	50	78	48
Fri Jan 19 15:51:54 2024	1705675914	23	55	78	55
Fri Jan 19 15:51:53 2024	1705675913	22	55	78	54
Fri Jan 19 15:51:59 2024	1705675919	24	54	78	53
Fri Jan 19 15:51:52 2024	1705675912	23	55	78	54
Fri Jan 19 15:51:57 2024	1705675917	25	53	78	52
Fri Jan 19 15:51:55 2024	1705675915	31	48	78	45
Fri Jan 19 15:51:58 2024	1705675918	28	50	78	50
Fri Jan 19 15:51:54 2024	1705675914	25	53	78	52
Fri Jan 19 15:51:53 2024	1705675913	26	52	78	52
Fri Jan 19 15:52:00 2024	1705675920	29	50	78	48
Fri Jan 19 15:51:59 2024	1705675919	22	56	78	55
Fri Jan 19 15:51:56 2024	1705675916	27	52	78	51
Fri Jan 19 15:51:57 2024	1705675917	20	58	79	57
Fri Jan 19 15:51:58 2024	1705675918	27	52	79	50
Fri Jan 19 15:51:55 2024	1705675915	24	55	79	55
Fri Jan 19 15:51:56 2024	1705675916	25	53	79	50
Fri Jan 19 15:51:54 2024	1705675914	21	58	79	55
Fri Jan 19 15:51:54 2024	1705675914	25	54	79	53
Fri Jan 19 15:51:59 2024	1705675919	17	62	79	62
Fri Jan 19 15:51:55 2024	1705675915	28	51	79	50
Fri Jan 19 15:51:55 2024	1705675915	22	57	79	55
Fri Jan 19 15:52:00 2024	1705675920	26	53	79	52
Fri Jan 19 15:51:54 2024	1705675914	27	53	79	50
Fri Jan 19 15:51:56 2024	1705675916	23	57	80	56
Fri Jan 19 15:51:55 2024	1705675915	22	58	80	58
Fri Jan 19 15:51:53 2024	1705675913	22	57	80	55
Fri Jan 19 15:51:59 2024	1705675919	24	55	80	53
Fri Jan 19 15:51:59 2024	1705675919	23	57	80	54
Fri Jan 19 15:51:59 2024	1705675919	25	55	80	55
Fri Jan 19 15:51:58 2024	1705675918	22	58	80	58
Fri Jan 19 15:51:57 2024	1705675917	25	55	80	54
Fri Jan 19 15:51:57 2024	1705675917	28	53	81	51
Fri Jan 19 15:51:52 2024	1705675912	21	59	81	59
Fri Jan 19 15:52:00 2024	1705675920	23	58	81	57
Fri Jan 19 15:51:57 2024	1705675917	27	54	81	52
Fri Jan 19 15:51:54 2024	1705675914	21	60	81	60
Fri Jan 19 15:51:57 2024	1705675917	30	51	81	50
Fri Jan 19 15:51:57 2024	1705675917	24	57	81	57
Fri Jan 19 15:51:58 2024	1705675918	20	61	81	59
Fri Jan 19 15:51:52 2024	1705675912	24	57	81	56
Fri Jan 19 15:51:54 2024	1705675914	26	56	81	55
Fri Jan 19 15:51:59 2024	1705675919	27	54	81	53
Fri Jan 19 15:51:52 2024	1705675912	29	52	81	51
Fri Jan 19 15:51:53 2024	1705675913	21	60	81	59
Fri Jan 19 15:51:58 2024	1705675918	25	56	81	56
Fri Jan 19 15:51:54 2024	1705675914	25	56	82	56
Fri Jan 19 15:51:59 2024	1705675919	24	57	82	57
Fri Jan 19 15:51:54 2024	1705675914	23	58	82	56
Fri Jan 19 15:51:53 2024	1705675913	29	53	82	52
Fri Jan 19 15:51:57 2024	1705675917	29	52	82	51
Fri Jan 19 15:51:53 2024	1705675913	24	58	82	57
Fri Jan 19 15:51:54 2024	1705675914	23	59	82	58
Fri Jan 19 15:52:00 2024	1705675920	27	55	82	55
Fri Jan 19 15:51:53 2024	1705675913	23	59	82	57
Fri Jan 19 15:51:52 2024	1705675912	29	53	82	51
Fri Jan 19 15:51:52 2024	1705675912	27	55	82	53
Fri Jan 19 15:51:57 2024	1705675917	24	58	82	56
Fri Jan 19 15:51:54 2024	1705675914	33	49	82	48
Fri Jan 19 15:51:55 2024	1705675915	25	58	82	57
Fri Jan 19 15:51:58 2024	1705675918	32	50	82	50
Fri Jan 19 15:51:57 2024	1705675917	29	53	82	53
Fri Jan 19 15:51:55 2024	1705675915	27	55	82	54
Fri Jan 19 15:51:53 2024	1705675913	22	60	82	59
Fri Jan 19 15:51:56 2024	1705675916	25	57	82	56
Fri Jan 19 15:51:59 2024	1705675919	29	53	82	53
Fri Jan 19 15:52:00 2024	1705675920	28	54	82	53
Fri Jan 19 15:51:58 2024	1705675918	22	61	83	59
Fri Jan 19 15:52:00 2024	1705675920	24	59	83	58
Fri Jan 19 15:51:59 2024	1705675919	30	53	83	51
Fri Jan 19 15:52:00 2024	1705675920	27	55	83	54
Fri Jan 19 15:51:54 2024	1705675914	27	56	83	55
Fri Jan 19 15:51:57 2024	1705675917	26	57	83	56
Fri Jan 19 15:51:57 2024	1705675917	29	54	83	53
Fri Jan 19 15:51:54 2024	1705675914	28	55	83	54
Fri Jan 19 15:51:56 2024	1705675916	25	58	83	56
Fri Jan 19 15:51:54 2024	1705675914	23	60	83	58
Fri Jan 19 15:51:57 2024	1705675917	31	52	83	51
Fri Jan 19 15:51:52 2024	1705675912	28	55	83	55
Fri Jan 19 15:51:56 2024	1705675916	29	54	83	52
Fri Jan 19 15:51:59 2024	1705675919	28	56	83	53
Fri Jan 19 15:52:01 2024	1705675921	25	59	83	58
Fri Jan 19 15:51:53 2024	1705675913	28	55	83	54
Fri Jan 19 15:52:00 2024	1705675920	26	57	83	57
Fri Jan 19 15:51:57 2024	1705675917	22	62	83	62
Fri Jan 19 15:51:55 2024	1705675915	28	56	83	54
Fri Jan 19 15:51:53 2024	1705675913	27	56	83	55
Fri Jan 19 15:52:00 2024	1705675920	23	61	83	59
Fri Jan 19 15:51:52 2024	1705675912	27	57	83	55
Fri Jan 19 15:51:59 2024	1705675919	27	57	83	52
Fri Jan 19 15:52:00 2024	1705675920	21	62	84	62
Fri Jan 19 15:51:59 2024	1705675919	27	57	84	50
Fri Jan 19 15:51:57 2024	1705675917	31	53	84	53
Fri Jan 19 15:52:01 2024	1705675921	23	60	84	59
Fri Jan 19 15:51:54 2024	1705675914	26	57	84	56
Fri Jan 19 15:51:57 2024	1705675917	34	50	84	49
Fri Jan 19 15:51:58 2024	1705675918	22	62	84	61
Fri Jan 19 15:51:58 2024	1705675918	28	55	84	55
Fri Jan 19 15:52:01 2024	1705675921	26	58	84	55
Fri Jan 19 15:51:52 2024	1705675912	22	62	84	60
Fri Jan 19 15:52:01 2024	1705675921	28	56	84	54
Fri Jan 19 15:51:53 2024	1705675913	26	58	84	57
Fri Jan 19 15:51:57 2024	1705675917	29	55	84	53
Fri Jan 19 15:51:58 2024	1705675918	22	62	84	59
Fri Jan 19 15:51:55 2024	1705675915	28	56	84	55
Fri Jan 19 15:52:00 2024	1705675920	24	60	84	57
Fri Jan 19 15:51:58 2024	1705675918	29	55	84	55
Fri Jan 19 15:51:57 2024	1705675917	26	58	84	56
Fri Jan 19 15:51:59 2024	1705675919	25	59	84	57
Fri Jan 19 15:51:59 2024	1705675919	25	59	84	54
Fri Jan 19 15:51:57 2024	1705675917	27	57	84	57
Fri Jan 19 15:52:00 2024	1705675920	32	53	84	52
Fri Jan 19 15:51:56 2024	1705675916	23	62	84	62
Fri Jan 19 15:51:59 2024	1705675919	27	57	85	57
Fri Jan 19 15:51:55 2024	1705675915	28	57	85	55
Fri Jan 19 15:51:59 2024	1705675919	28	57	85	55
Fri Jan 19 15:51:55 2024	1705675915	32	53	85	53
Fri Jan 19 15:51:53 2024	1705675913	22	63	85	62
Fri Jan 19 15:51:53 2024	1705675913	21	63	85	62
Fri Jan 19 15:51:59 2024	1705675919	29	56	85	54
Fri Jan 19 15:51:59 2024	1705675919	25	60	85	59
Fri Jan 19 15:51:54 2024	1705675914	33	53	85	52
Fri Jan 19 15:51:54 2024	1705675914	26	59	85	58
Fri Jan 19 15:51:55 2024	1705675915	23	62	85	62
Fri Jan 19 15:51:53 2024	1705675913	29	56	85	56
Fri Jan 19 15:51:57 2024	1705675917	26	59	85	58
Fri Jan 19 15:51:57 2024	1705675917	33	52	85	51
Fri Jan 19 15:51:53 2024	1705675913	23	62	85	60
Fri Jan 19 15:51:54 2024	1705675914	27	58	85	58
Fri Jan 19 15:52:00 2024	1705675920	25	61	85	61
Fri Jan 19 15:51:57 2024	1705675917	31	55	86	54
Fri Jan 19 15:51:58 2024	1705675918	26	60	86	60
Fri Jan 19 15:51:54 2024	1705675914	22	63	86	61
Fri Jan 19 15:51:55 2024	1705675915	22	63	86	62
Fri Jan 19 15:51:59 2024	1705675919	24	62	86	60
Fri Jan 19 15:51:55 2024	1705675915	32	54	86	54
Fri Jan 19 15:51:57 2024	1705675917	26	59	86	59
Fri Jan 19 15:51:56 2024	1705675916	25	61	86	60
Fri Jan 19 15:52:00 2024	1705675920	31	55	86	54
Fri Jan 19 15:51:57 2024	1705675917	29	56	86	56
Fri Jan 19 15:51:58 2024	1705675918	23	63	86	61
Fri Jan 19 15:51:54 2024	1705675914	31	55	86	55
Fri Jan 19 15:51:52 2024	1705675912	30	56	86	54
Fri Jan 19 15:51:53 2024	1705675913	29	57	86	57
Fri Jan 19 15:51:52 2024	1705675912	24	62	86	60
Fri Jan 19 15:51:56 2024	1705675916	26	60	86	58
Fri Jan 19 15:51:53 2024	1705675913	25	61	86	60
Fri Jan 19 15:51:53 2024	1705675913	23	63	86	63
Fri Jan 19 15:51:55 2024	1705675915	22	64	86	63
Fri Jan 19 15:51:55 2024	1705675915	33	53	86	53
Fri Jan 19 15:51:54 2024	1705675914	21	66	86	64
Fri Jan 19 15:51:55 2024	1705675915	30	56	86	55
Fri Jan 19 15:51:52 2024	1705675912	27	60	86	58
Fri Jan 19 15:51:53 2024	1705675913	28	59	86	58
Fri Jan 19 15:51:59 2024	1705675919	28	59	87	57
Fri Jan 19 15:51:58 2024	1705675918	23	64	87	63
Fri Jan 19 15:51:57 2024	1705675917	30	57	87	54
Fri Jan 19 15:51:56 2024	1705675916	26	61	87	58
Fri Jan 19 15:51:53 2024	1705675913	25	62	87	60
Fri Jan 19 15:51:56 2024	1705675916	33	54	87	53
Fri Jan 19 15:51:58 2024	1705675918	25	61	87	59
Fri Jan 19 15:52:00 2024	1705675920	23	64	87	63
Fri Jan 19 15:51:56 2024	1705675916	28	59	87	58
Fri Jan 19 15:51:53 2024	1705675913	24	63	87	63
Fri Jan 19 15:51:57 2024	1705675917	31	56	87	55
Fri Jan 19 15:51:52 2024	1705675912	31	56	87	55
Fri Jan 19 15:51:55 2024	1705675915	22	66	87	64
Fri Jan 19 15:51:58 2024	1705675918	21	66	87	66
Fri Jan 19 15:51:58 2024	1705675918	29	58	87	57
Fri Jan 19 15:51:55 2024	1705675915	26	62	87	61
Fri Jan 19 15:52:00 2024	1705675920	28	59	87	56
Fri Jan 19 15:51:56 2024	1705675916	26	62	87	59
Fri Jan 19 15:51:56 2024	1705675916	23	64	87	63
Fri Jan 19 15:51:59 2024	1705675919	25	62	87	61
Fri Jan 19 15:51:52 2024	1705675912	27	61	87	60
Fri Jan 19 15:51:59 2024	1705675919	34	54	87	52
Fri Jan 19 15:51:59 2024	1705675919	31	57	88	55
Fri Jan 19 15:51:59 2024	1705675919	25	63	88	63
Fri Jan 19 15:51:53 2024	1705675913	26	61	88	60
Fri Jan 19 15:51:54 2024	1705675914	30	57	88	56
Fri Jan 19 15:51:58 2024	1705675918	34	53	88	53
Fri Jan 19 15:51:53 2024	1705675913	26	62	88	60
Fri Jan 19 15:51:55 2024	1705675915	27	61	88	60
Fri Jan 19 15:51:52 2024	1705675912	25	63	88	62
Fri Jan 19 15:52:00 2024	1705675920	22	66	88	65
Fri Jan 19 15:51:57 2024	1705675917	26	62	88	60
Fri Jan 19 15:52:00 2024	1705675920	30	58	88	57
Fri Jan 19 15:51:55 2024	1705675915	21	66	88	64
Fri Jan 19 15:51:53 2024	1705675913	23	65	88	63
Fri Jan 19 15:51:55 2024	1705675915	27	61	88	61
Fri Jan 19 15:51:58 2024	1705675918	23	65	88	65
Fri Jan 19 15:51:59 2024	1705675919	23	65	88	59
Fri Jan 19 15:51:54 2024	1705675914	23	65	88	63
Fri Jan 19 15:51:55 2024	1705675915	24	64	88	62
Fri Jan 19 15:51:56 2024	1705675916	30	58	88	57
Fri Jan 19 15:52:00 2024	1705675920	27	61	88	61
Fri Jan 19 15:51:55 2024	1705675915	29	59	88	58
Fri Jan 19 15:51:52 2024	1705675912	30	58	88	56
Fri Jan 19 15:51:55 2024	1705675915	30	58	88	58
Fri Jan 19 15:51:55 2024	1705675915	29	59	88	59
Fri Jan 19 15:51:59 2024	1705675919	25	63	88	56
Fri Jan 19 15:51:53 2024	1705675913	26	62	88	62
Fri Jan 19 15:51:52 2024	1705675912	29	59	88	58
Fri Jan 19 15:51:52 2024	1705675912	32	56	88	56
Fri Jan 19 15:51:53 2024	1705675913	29	59	88	58
Fri Jan 19 15:51:55 2024	1705675915	27	62	88	60
Fri Jan 19 15:52:00 2024	1705675920	30	58	88	56
Fri Jan 19 15:51:57 2024	1705675917	29	60	88	58
Fri Jan 19 15:51:59 2024	1705675919	30	58	88	58
Fri Jan 19 15:51:51 2024	1705675911	27	61	89	60
Fri Jan 19 15:51:54 2024	1705675914	31	57	89	57
Fri Jan 19 15:52:01 2024	1705675921	27	62	89	61
Fri Jan 19 15:51:52 2024	1705675912	29	59	89	59
Fri Jan 19 15:51:54 2024	1705675914	37	52	89	52
Fri Jan 19 15:51:58 2024	1705675918	24	65	89	64
Fri Jan 19 15:51:52 2024	1705675912	26	63	89	61
Fri Jan 19 15:51:52 2024	1705675912	18	71	89	69
Fri Jan 19 15:51:58 2024	1705675918	26	63	89	61
Fri Jan 19 15:51:52 2024	1705675912	23	66	89	63
Fri Jan 19 15:51:55 2024	1705675915	22	68	89	64
Fri Jan 19 15:51:55 2024	1705675915	30	59	89	58
Fri Jan 19 15:51:59 2024	1705675919	27	62	89	61
Fri Jan 19 15:51:56 2024	1705675916	26	63	89	62
Fri Jan 19 15:51:56 2024	1705675916	27	62	89	59
Fri Jan 19 15:51:57 2024	1705675917	34	55	89	53
Fri Jan 19 15:51:52 2024	1705675912	29	60	89	60
Fri Jan 19 15:51:59 2024	1705675919	24	65	90	65
Fri Jan 19 15:51:59 2024	1705675919	21	69	90	68
Fri Jan 19 15:51:58 2024	1705675918	26	64	90	63
Fri Jan 19 15:51:57 2024	1705675917	31	58	90	58
Fri Jan 19 15:51:54 2024	1705675914	36	53	90	53
Fri Jan 19 15:51:52 2024	1705675912	22	68	90	66
Fri Jan 19 15:51:57 2024	1705675917	22	68	90	68
Fri Jan 19 15:51:56 2024	1705675916	23	67	90	66
Fri Jan 19 15:51:54 2024	1705675914	26	64	90	63
Fri Jan 19 15:51:52 2024	1705675912	25	65	90	65
Fri Jan 19 15:52:00 2024	1705675920	21	69	90	66
Fri Jan 19 15:51:52 2024	1705675912	27	63	90	62
Fri Jan 19 15:52:00 2024	1705675920	30	60	90	58
Fri Jan 19 15:51:57 2024	1705675917	28	62	90	60
Fri Jan 19 15:51:53 2024	1705675913	22	68	90	66
Fri Jan 19 15:51:53 2024	1705675913	29	61	90	60
Fri Jan 19 15:51:57 2024	1705675917	28	63	90	62
Fri Jan 19 15:51:52 2024	1705675912	29	61	90	60
Fri Jan 19 15:51:58 2024	1705675918	32	58	90	58
Fri Jan 19 15:51:54 2024	1705675914	23	67	90	66
Fri Jan 19 15:51:58 2024	1705675918	31	59	90	59
Fri Jan 19 15:51:53 2024	1705675913	22	68	90	64
Fri Jan 19 15:51:53 2024	1705675913	31	59	90	57
Fri Jan 19 15:51:54 2024	1705675914	32	58	90	57
Fri Jan 19 15:51:59 2024	1705675919	25	66	91	65
Fri Jan 19 15:52:01 2024	1705675921	26	64	91	64
Fri Jan 19 15:52:00 2024	1705675920	27	63	91	61
Fri Jan 19 15:51:59 2024	1705675919	22	69	91	67
Fri Jan 19 15:51:53 2024	1705675913	26	65	91	63
Fri Jan 19 15:51:52 2024	1705675912	25	66	91	62
Fri Jan 19 15:51:56 2024	1705675916	26	65	91	63
Fri Jan 19 15:51:53 2024	1705675913	27	64	91	62
Fri Jan 19 15:51:51 2024	1705675911	22	69	91	68
Fri Jan 19 15:51:57 2024	1705675917	31	59	91	58
Fri Jan 19 15:51:57 2024	1705675917	36	55	91	55
Fri Jan 19 15:51:57 2024	1705675917	32	59	91	59
Fri Jan 19 15:51:58 2024	1705675918	28	63	91	61
Fri Jan 19 15:51:59 2024	1705675919	28	63	91	62
Fri Jan 19 15:51:54 2024	1705675914	27	64	91	61
Fri Jan 19 15:51:52 2024	1705675912	28	63	91	62
Fri Jan 19 15:51:56 2024	1705675916	26	65	91	64
Fri Jan 19 15:51:51 2024	1705675911	23	68	91	68
Fri Jan 19 15:52:00 2024	1705675920	30	61	91	60
Fri Jan 19 15:51:53 2024	1705675913	22	70	91	69
Fri Jan 19 15:51:57 2024	1705675917	36	55	91	53
Fri Jan 19 15:51:55 2024	1705675915	28	63	91	61
Fri Jan 19 15:51:57 2024	1705675917	31	60	91	60
Fri Jan 19 15:51:52 2024	1705675912	26	65	91	63
Fri Jan 19 15:51:53 2024	1705675913	27	64	91	63
Fri Jan 19 15:51:55 2024	1705675915	26	65	91	63
Fri Jan 19 15:51:53 2024	1705675913	31	60	91	60
Fri Jan 19 15:51:59 2024	1705675919	29	63	91	62
Fri Jan 19 15:51:57 2024	1705675917	30	62	91	60
Fri Jan 19 15:51:53 2024	1705675913	32	59	91	58
Fri Jan 19 15:51:54 2024	1705675914	24	67	91	66
Fri Jan 19 15:51:57 2024	1705675917	30	61	91	61
Fri Jan 19 15:51:53 2024	1705675913	30	62	92	60
Fri Jan 19 15:51:52 2024	1705675912	27	64	92	63
Fri Jan 19 15:51:58 2024	1705675918	21	70	92	69
Fri Jan 19 15:51:59 2024	1705675919	28	64	92	63
Fri Jan 19 15:51:56 2024	1705675916	32	60	92	58
Fri Jan 19 15:51:56 2024	1705675916	31	61	92	60
Fri Jan 19 15:51:56 2024	1705675916	26	65	92	62
Fri Jan 19 15:52:00 2024	1705675920	28	63	92	60
Fri Jan 19 15:51:53 2024	1705675913	29	63	92	61
Fri Jan 19 15:51:55 2024	1705675915	25	67	92	64
Fri Jan 19 15:52:00 2024	1705675920	26	66	92	65
Fri Jan 19 15:51:53 2024	1705675913	33	59	92	58
Fri Jan 19 15:51:53 2024	1705675913	21	71	92	70
Fri Jan 19 15:51:59 2024	1705675919	23	69	92	66
Fri Jan 19 15:51:56 2024	1705675916	29	63	92	61
Fri Jan 19 15:51:54 2024	1705675914	30	62	92	61
Fri Jan 19 15:51:59 2024	1705675919	30	62	92	60
Fri Jan 19 15:51:56 2024	1705675916	21	71	92	69
Fri Jan 19 15:52:00 2024	1705675920	32	61	92	58
Fri Jan 19 15:51:59 2024	1705675919	32	61	92	59
Fri Jan 19 15:51:55 2024	1705675915	27	65	92	64
Fri Jan 19 15:51:54 2024	1705675914	27	65	92	64
Fri Jan 19 15:51:59 2024	1705675919	25	68	92	67
Fri Jan 19 15:52:00 2024	1705675920	28	65	92	64
Fri Jan 19 15:51:55 2024	1705675915	31	62	92	61
Fri Jan 19 15:51:55 2024	1705675915	26	67	92	66
Fri Jan 19 15:52:00 2024	1705675920	22	71	92	67
Fri Jan 19 15:51:54 2024	1705675914	32	60	93	57
Fri Jan 19 15:51:55 2024	1705675915	27	65	93	64
Fri Jan 19 15:51:59 2024	1705675919	26	67	93	65
Fri Jan 19 15:51:54 2024	1705675914	32	60	93	60
Fri Jan 19 15:51:58 2024	1705675918	30	63	93	63
Fri Jan 19 15:51:56 2024	1705675916	32	61	93	60
Fri Jan 19 15:52:00 2024	1705675920	33	60	93	60
Fri Jan 19 15:51:55 2024	1705675915	35	58	93	57
Fri Jan 19 15:52:00 2024	1705675920	22	71	93	68
Fri Jan 19 15:51:56 2024	1705675916	22	71	93	69
Fri Jan 19 15:51:56 2024	1705675916	24	69	93	68
Fri Jan 19 15:51:54 2024	1705675914	25	69	93	67
Fri Jan 19 15:51:54 2024	1705675914	33	60	93	59
Fri Jan 19 15:51:56 2024	1705675916	22	71	93	69
Fri Jan 19 15:51:54 2024	1705675914	29	64	93	64
Fri Jan 19 15:51:59 2024	1705675919	31	62	93	62
Fri Jan 19 15:51:54 2024	1705675914	29	64	93	63
Fri Jan 19 15:51:55 2024	1705675915	29	65	93	63
Fri Jan 19 15:51:52 2024	1705675912	34	59	93	58
Fri Jan 19 15:52:01 2024	1705675921	29	64	93	64
Fri Jan 19 15:51:55 2024	1705675915	28	66	93	64
Fri Jan 19 15:51:53 2024	1705675913	21	73	93	72
Fri Jan 19 15:51:54 2024	1705675914	29	64	93	62
Fri Jan 19 15:51:58 2024	1705675918	30	64	94	64
Fri Jan 19 15:51:55 2024	1705675915	22	71	94	70
Fri Jan 19 15:51:57 2024	1705675917	30	63	94	63
Fri Jan 19 15:51:55 2024	1705675915	27	67	94	65
Fri Jan 19 15:51:56 2024	1705675916	32	61	94	61
Fri Jan 19 15:51:56 2024	1705675916	25	69	94	66
Fri Jan 19 15:51:53 2024	1705675913	23	70	94	70
Fri Jan 19 15:51:57 2024	1705675917	26	67	94	67
Fri Jan 19 15:51:59 2024	1705675919	27	67	94	66
Fri Jan 19 15:51:53 2024	1705675913	31	63	94	63
Fri Jan 19 15:51:54 2024	1705675914	28	65	94	61
Fri Jan 19 15:51:55 2024	1705675915	34	60	94	60
Fri Jan 19 15:51:53 2024	1705675913	26	68	94	67
Fri Jan 19 15:52:00 2024	1705675920	32	62	94	62
Fri Jan 19 15:52:01 2024	1705675921	25	69	94	68
Fri Jan 19 15:51:56 2024	1705675916	29	65	94	63
Fri Jan 19 15:52:01 2024	1705675921	28	66	94	65
Fri Jan 19 15:51:57 2024	1705675917	32	62	94	60
Fri Jan 19 15:51:54 2024	1705675914	33	61	94	61
Fri Jan 19 15:51:59 2024	1705675919	29	65	94	62
Fri Jan 19 15:52:00 2024	1705675920	21	73	94	72
Fri Jan 19 15:51:56 2024	1705675916	32	62	94	60
Fri Jan 19 15:51:56 2024	1705675916	33	61	94	61
Fri Jan 19 15:51:53 2024	1705675913	34	60	94	59
Fri Jan 19 15:51:56 2024	1705675916	33	61	94	60
Fri Jan 19 15:51:53 2024	1705675913	23	71	94	70
Fri Jan 19 15:51:59 2024	1705675919	31	63	94	63
Fri Jan 19 15:52:01 2024	1705675921	27	67	94	65
Fri Jan 19 15:51:55 2024	1705675915	36	58	94	57
Fri Jan 19 15:52:00 2024	1705675920	28	66	94	64
Fri Jan 19 15:51:57 2024	1705675917	33	61	94	60
Fri Jan 19 15:51:59 2024	1705675919	28	66	94	64
Fri Jan 19 15:52:01 2024	1705675921	29	66	94	64
Fri Jan 19 15:51:58 2024	1705675918	32	62	94	62
Fri Jan 19 15:51:57 2024	1705675917	32	62	94	59
Fri Jan 19 15:51:55 2024	1705675915	29	65	94	62
Fri Jan 19 15:51:53 2024	1705675913	34	60	94	58
Fri Jan 19 15:51:58 2024	1705675918	22	72	94	70
Fri Jan 19 15:51:58 2024	1705675918	28	66	94	59
Fri Jan 19 15:51:59 2024	1705675919	30	65	94	61
Fri Jan 19 15:52:00 2024	1705675920	28	67	94	66
Fri Jan 19 15:51:53 2024	1705675913	30	65	94	64
Fri Jan 19 15:52:01 2024	1705675921	30	65	94	62
Fri Jan 19 15:51:56 2024	1705675916	33	61	94	59
Fri Jan 19 15:51:54 2024	1705675914	24	70	95	69
Fri Jan 19 15:52:00 2024	1705675920	24	71	95	69
Fri Jan 19 15:51:59 2024	1705675919	32	62	95	60
Fri Jan 19 15:51:54 2024	1705675914	34	61	95	60
Fri Jan 19 15:51:59 2024	1705675919	26	68	95	66
Fri Jan 19 15:51:56 2024	1705675916	26	69	95	67
Fri Jan 19 15:51:59 2024	1705675919	26	68	95	68
Fri Jan 19 15:51:53 2024	1705675913	34	61	95	59
Fri Jan 19 15:51:57 2024	1705675917	25	70	95	69
Fri Jan 19 15:51:52 2024	1705675912	27	68	95	68
Fri Jan 19 15:51:57 2024	1705675917	31	64	95	64
Fri Jan 19 15:51:59 2024	1705675919	27	68	95	68
Fri Jan 19 15:51:52 2024	1705675912	22	73	95	73
